# file...... ./glm_output/Meter_645_B_Power_Best.csv
# date...... Thu Mar  2 18:06:31 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_voltage_B,xfmr_meter_645_B_1:voltage_B,xfmr_meter_645_B_2:voltage_B,xfmr_meter_645_B_3:voltage_B,xfmr_meter_645_B_4:voltage_B,xfmr_meter_645_B_5:voltage_B
2021-12-25 00:00:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 00:15:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 00:30:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 00:45:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 01:00:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 01:15:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 01:30:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 01:45:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 02:00:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 02:15:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 02:30:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 02:45:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 03:00:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 03:15:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 03:30:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 03:45:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 04:00:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 04:15:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 04:30:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 04:45:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 05:00:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 05:15:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 05:30:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 05:45:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 06:00:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
2021-12-25 06:15:00 UTC,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j,-1200.89-2080j
