# file...... ./glm_output/Meter_684_A_Power_Best.csv
# date...... Thu Mar  2 18:06:31 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_voltage_A,xfmr_meter_684_A_1:voltage_A,xfmr_meter_684_A_2:voltage_A,xfmr_meter_684_A_3:voltage_A,xfmr_meter_684_A_4:voltage_A,xfmr_meter_684_A_5:voltage_A
2021-12-25 00:00:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 00:15:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 00:30:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 00:45:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 01:00:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 01:15:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 01:30:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 01:45:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 02:00:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 02:15:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 02:30:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 02:45:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 03:00:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 03:15:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 03:30:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
2021-12-25 03:45:00 UTC,+2401.78-4.61176e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j,+2401.78-4.61208e-07j
