# file...... output/trip_node_meter_file_1.csv
# date...... Wed Feb 15 13:17:16 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,trip_node_meter_0:measured_real_power, trip_node_meter_1:measured_real_power, trip_node_meter_2:measured_real_power, trip_node_meter_3:measured_real_power, trip_node_meter_4:measured_real_power, trip_node_meter_5:measured_real_power, trip_node_meter_6:measured_real_power, trip_node_meter_7:measured_real_power, trip_node_meter_8:measured_real_power, trip_node_meter_9:measured_real_power, trip_node_meter_10:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:30:00 UTC,+0,+4480.94,+0,+0,+0,+0,+0,+0,+0,+0,+4478.5
2021-12-25 00:45:00 UTC,+0,+4460.11,+0,+0,+0,+0,+0,+0,+0,+4457.68,+0
2021-12-25 01:00:00 UTC,+0,+4442.79,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 01:15:00 UTC,+0,+4453.43,+4453.43,+0,+0,+0,+4453.43,+0,+0,+0,+4458.29
2021-12-25 01:30:00 UTC,+0,+4436.61,+0,+0,+0,+0,+4436.61,+0,+0,+0,+4431.78
2021-12-25 01:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4478.51,+0,+0,+0
2021-12-25 02:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:15:00 UTC,+0,+4450.69,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4459.55,+0
2021-12-25 03:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:15:00 UTC,+0,+0,+0,+0,+4450.15,+0,+0,+4450.15,+4452.58,+0,+0
2021-12-25 03:30:00 UTC,+0,+0,+0,+4491.14,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 04:00:00 UTC,+0,+4468.36,+0,+0,+0,+0,+0,+0,+0,+4468.36,+0
2021-12-25 04:15:00 UTC,+0,+4433.3,+0,+0,+0,+0,+0,+4433.3,+0,+0,+0
2021-12-25 04:30:00 UTC,+4482.87,+0,+0,+0,+4482.87,+0,+0,+0,+0,+0,+0
2021-12-25 04:45:00 UTC,+4387.13,+0,+0,+4387.13,+4387.13,+0,+4387.13,+0,+0,+0,+0
2021-12-25 05:00:00 UTC,+0,+4415.61,+4415.61,+4415.61,+0,+0,+0,+4415.61,+0,+0,+0
2021-12-25 05:15:00 UTC,+0,+4446.53,+4446.53,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 05:30:00 UTC,+0,+4499.65,+0,+0,+0,+0,+0,+4499.65,+0,+0,+0
2021-12-25 05:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4457.69,+0,+0,+0
2021-12-25 06:00:00 UTC,+0,+0,+0,+0,+4461.55,+0,+0,+0,+0,+0,+0
2021-12-25 06:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 06:30:00 UTC,+0,+4319.31,+4319.31,+4319.31,+0,+0,+4319.31,+4319.31,+0,+0,+0
2021-12-25 06:45:00 UTC,+0,+0,+0,+0,+4457.18,+0,+0,+0,+0,+0,+0
2021-12-25 07:00:00 UTC,+0,+4470.59,+0,+0,+4470.59,+0,+0,+0,+0,+0,+0
2021-12-25 07:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
